,CO_POSICAO,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,ANO,QUESTOES,ALTERNATIVAS
2516,1,A,2.27373,1.0434,0.17767,2015,"SCHWARCZ, L. M. As barbas do imperador: D. Pedro II, um monarca nos trópicos. São Paulo: Cia. das Letras, 1998 (adaptado).Essas imagens de D. Pedro II foram feitas no início dos anos de 1850, pouco mais de uma década após o Golpe da Maioridade. Considerando o contexto histórico em que foram produzidas e os elementos simbólicos destacados, essas imagens representavam um",A: jovem imaturo que agiria de forma irresponsável; B: imperador adulto que governaria segundo as leis; C: líder guerreiro que comandaria as vitórias militares; D: soberano religioso que acataria a autoridade papal; E: monarca absolutista que exerceria seu autoritarismo
2556,6,D,1.97979,1.19238,0.10246,2015,"No início foram as cidades. O intelectual da Idade Média — no Ocidente — nasceu com elas. Foi com o desenvolvimento urbano ligado às funções comercial e industrial — digamos modestamente artesanal — que ele apareceu, como um desses homens de ofício que se instalavam nas cidades nas quais se impôs a divisão do trabalho. Um homem cujo ofício é escrever ou ensinar, e de preferência as duas coisas a um só tempo, um homem que, profissionalmente, tem uma atividade de professor e erudito, em resumo, um intelectual — esse homem só aparecerá com as cidades.LE GOFF, J. Os intelectuais na Idade Média . Rio de Janeiro: José Olympio, 2010.O surgimento da categoria mencionada no período em destaque no texto evidencia o(a)",A: apoio dado pela Igreja ao trabalho abstrato; B: relação entre desenvolvimento urbano e divisão do trabalho; C: importância organizacional das corporações de ofício; D: progressiva expansão da educação escolar; E: acúmulo de trabalho dos professores e eruditos
2635,26,A,1.91052,1.45228,0.5,2015,"Um carro esportivo é financiado pelo Japão, projetado na Itália e montado em Indiana, México e França, usando os mais avançados componentes eletrônicos, que foram inventados em Nova Jérsei e fabricados na Coreia. A campanha publicitária é desenvolvida na Inglaterra, filmada no Canadá, a edição e as cópias, feitas em Nova York para serem veiculadas no mundo todo. Teias globais disfarçam-se com o uniforme nacional que lhes for mais conveniente.REICH, R. O trabalho das nações: preparando-nos para o capitalismo no século XXI. São Paulo: Educator, 1994 (adaptado).A viabilidade do processo de produção ilustrado pelo texto pressupõe o uso de",A: linhas de montagem e formação de estoques; B: empresas burocráticas e mão de obra barata; C: controle estatal e infraestrutura consolidada; D: organização em rede e tecnologia de informação; E: gestão centralizada e protecionismo econômico
2658,35,B,2.60776,1.60742,0.06504,2015,"Na sociedade contemporânea, onde as relações sociais tendem a reger-se por imagens midiáticas, a imagem de um indivíduo, principalmente na indústria do espetáculo, pode agregar valor econômico na medida de seu incremento técnico: amplitude do espelhamento e da atenção pública. Aparecer é então mais do que ser; o sujeito é famoso porque é falado. Nesse âmbito, a lógica circulatória do mercado, ao mesmo tempo que acena democraticamente para as massas com supostos “ganhos distributivos” (a informação ilimitada, a quebra das supostas hierarquias culturais), afeta a velha cultura disseminada na esfera pública. A participação nas redes sociais, a obsessão dos selfies, tanto falar e ser falado quanto ser visto são índices do desejo de “espelhamento”.SODRÉ, M. Disponível em: http://alias.estadao.com.br. Acesso em: 9 fev. 2015 (adaptado). ",A: crítica contida no texto sobre a sociedade contemporânea enfatizaA a prática identitária autorreferente; B: a dinâmica política democratizante; C: a produção instantânea de notícias; D: os processos difusores de informações.; E: os mecanismos de convergência tecnológica
2663,30,B,1.56624,1.75392,0.07902,2015,"A crescente intelectualização e racionalização não indicam um conhecimento maior e geral das condições sob as quais vivemos. Significa a crença em que, se quiséssemos, poderíamos  ter esse conhecimento a qualquer momento. Não há forças misteriosas incalculáveis; podemos dominar todas as coisas pelo cálculo. WEBER, M. A ciência como vocação. In: GERTH, H.; MILLS, W. (Org.). Max Weber: ensaios de sociologia. Rio de Janeiro: Zahar, 1979 (adaptado).Tal como apresentada no texto, a proposição de Max Weber a respeito do processo de desencantamento do mundo evidencia o(a)",A: progresso civilizatório como decorrência da expansão do industrialismo; B: extinção do pensamento mítico como um desdobramento do capitalismo; C: emancipação como consequência do processo de racionalização da vida; D: afastamento de crenças tradicionais como uma característica da modernidade; E: fim do monoteísmo como condição para a consolidação da ciência
2710,21,E,1.23126,-0.01092,0.03168,2015,"Diante de ameaças surgidas com a engenharia genética de alimentos, vários grupos da sociedade civil conceberam o chamado “princípio da precaução”. O fundamento desse princípio é: quando uma tecnologia ou produto comporta alguma ameaça à saúde ou ao ambiente, ainda que não se possa avaliar a natureza precisa ou a magnitude do dano que venha a ser causado por eles, deve-se evitá-los ou deixá-los de quarentena para maiores estudos e avaliações antes de sua liberação. SEVCENKO, N. A corrida para o século XXI : no loop  da montanha-russa. São Paulo: Cia. das Letras, 2001 (adaptado).O texto expõe uma tendência representativa do pensamento social contemporâneo, na qual o desenvolvimento de mecanismos de acautelamento ou administração de riscos tem como objetivo ",A: priorizar os interesses econômicos em relação aos seres humanos e à natureza; B: negar a perspectiva científica e suas conquistas por causa de riscos ecológicos; C: instituir o diálogo público sobre mudanças tecnológicas e suas consequências; D: combater a introdução de tecnologias para travar o curso das mudanças sociais; E: romper o equilíbrio entre benefícios e riscos do avanço tecnológico e científico
2731,32,E,0.88302,1.39311,0.03588,2015,"Ninguém nasce mulher: torna-se mulher. Nenhum destino biológico, psíquico, econômico define a forma que a fêmea humana assume no seio da sociedade; é o conjunto da civilização que elabora esse produto intermediário entre o macho e o castrado que qualificam o feminino.BEAUVOIR, S. O segundo sexo . Rio de Janeiro: Nova Fronteira, 1980.Na década de 1960, a proposição de Simone de Beauvoir contribuiu para estruturar um movimento social que teve como marca o(a)",A: ação do Poder Judiciário para criminalizar a violência sexual; B: pressão do Poder Legislativo para impedir a dupla jornada de trabalho; C: organização de protestos públicos para garantir a igualdade de gênero; D: oposição de grupos religiosos para impedir os casamentos homoafetivos; E: estabelecimento de políticas governamentais para promover ações afirmativas
2737,14,B,2.66147,1.0009,0.15185,2015,"Só num sentido muito restrito, o indivíduo cria com seus próprios recursos o modo de falar e de pensar que lhe são atribuídos. Fala o idioma de seu grupo; pensa à maneira de seu grupo. Encontra a sua disposição apenas determinadas palavras e significados. Estas não só determinam, em grau considerável, as vias de acesso mental ao mundo circundante, mas também mostram, ao mesmo tempo, sob que ângulo e em que contexto de atividade os objetos foram até agora perceptíveis ao grupo ou ao indivíduo.MANNHEIM, K. Ideologia e utopia . Porto Alegre: Globo, 1950 (adaptado).Ilustrando uma proposição básica da sociologia do conhecimento, o argumento de Karl Mannheim defende que o(a)",A: conhecimento sobre a realidade é condicionado socialmente; B: submissão ao grupo manipula o conhecimento do mundo; C: divergência é um privilégio de indivíduos excepcionais; D: educação formal determina o conhecimento do idioma; E: domínio das línguas universaliza o conhecimento.
2758,27,D,3.41348,0.88565,0.18541,2015,"A Unesco condenou a destruição da antiga capital assíria de Nimrod, no Iraque, pelo Estado Islâmico, com a agência da ONU considerando o ato como um crime de guerra. O grupo iniciou um processo de demolição em vários sítios arqueológicos em uma área reconhecida como um dos berços da civilização.Unesco e especialistas condenam destruição de cidade assíria pelo Estado Islâmico . Disponível em: http://oglobo.globo.com. Acesso em: 30 mar. 2015 (adaptado) .O tipo de atentado descrito no texto tem como consequência para as populações de países como o Iraque a desestruturação do(a)",A: homogeneidade cultural; B: patrimônio histórico; C: controle ocidental; D: unidade étnica; E: religião oficial
2774,39,A,2.00333,1.01952,0.01741,2015,"A questão ambiental, uma das principais pautas contemporâneas, possibilitou o surgimento de concepções políticas diversas, dentre as quais se destaca a preservação ambiental, que sugere uma ideia de intocabilidade da natureza e impede o seu aproveitamento econômico sob qualquer justificativa.PORTO-GONÇALVES, C. W. A globalização da natureza e a natureza da globalização. Rio de Janeiro: Civilização Brasileira, 2006 (adaptado).Considerando as atuais concepções políticas sobre a questão ambiental, a dinâmica caracterizada no texto quanto à proteção do meio ambiente está baseada na",A: prática econômica sustentável; B: contenção de impactos ambientais; C: utilização progressiva dos recursos naturais; D: proibição permanente da exploração da natureza; E: definição de áreas prioritárias para a exploração econômica.
95,36,B,1.48784,1.74819,0.25985,2016,"Sentimos que toda satisfação de nossos desejos advinda do mundo assemelha-se à esmola que mantém hoje o mendigo vivo, porém prolonga amanhã a sua fome. A resignação, ao contrário, assemelha-se à fortuna herdada: livra o herdeiro para sempre de todas as preocupações.SCHOPENHAUER, A. Aforismo para a sabedoria da vida. São Paulo: Martins Fontes, 2005.O trecho destaca uma ideia remanescente de uma tradição ﬁlosóﬁca ocidental, segundo a qual a felicidade se mostra indissociavelmente ligada à",A: consagração de relacionamentos afetivos; B: administração da independência interior; C: fugacidade do conhecimento empírico.; D: liberdade de expressão religiosa.; E: busca de prazeres efêmeros
371,29,E,1.96986,0.66199,0.05233,2016,"Batizado por Tancredo Neves de “Nova República”, o período que marca o reencontro do Brasil com os governos civis e a democracia ainda não completou seu quinto ano e já viveu dias de grande comoção. Começou com a tragédia de Tancredo, seguiu pela euforia do Plano Cruzado, conheceu as depressões da inflação e das ameaças da hiperinflação e desembocou na movimentação que antecede as primeiras eleições diretas para presidente em 29 anos.O álbum dos presidentes: a história vista pelo JB. Jornal do Brasil, 15 nov. 1989.O período descrito apresenta continuidades e rupturas em relação à conjuntura histórica anterior. Uma dessas continuidades consistiu na",A: representação do legislativo com a fórmula do bipartidarismo; B: detenção de lideranças populares por crimes de subversão; C: presença de políticos com trajetórias no regime autoritário; D: prorrogação das restrições advindas dos atos institucionais; E: estabilidade da economia com o congelamento anual de preços
384,22,E,1.71998,1.3582,0.1909,2016,"Os moradores de Andalsnes, na Noruega, poderiam se dar ao luxo de morar perto do trabalho nos dias úteis e de se refugiar na calmaria do bosque aos ﬁns de semana. E sem sair da mesma casa. Bastaria achar uma vaga para estacionar o imóvel antes de curtir o novo endereço.Disponível em: http://casavogue.globo.com. Acesso em: 3 out. 2015 (adaptado).Uma vez implementada, essa proposta afetaria a dinâmica do espaço urbano por reduzir a intensidade do seguinte processo:",A: Êxodo rural; B: Movimento pendular; C: Migração de retorno; D: Deslocamento sazonal; E: Ocupação de áreas centrais
453,7,E,4.05683,1.56767,0.21096,2016,"O Rio de Janeiro tem projeção imediata no próprio estado e no Espírito Santo, em parcela do sul do estado da Bahia, e na Zona da Mata, em Minas Gerais, onde tem influência dividida com Belo Horizonte. Compõem a rede urbana do Rio de Janeiro, entre outras cidades: Vitória, Juiz de Fora, Cachoeiro de Itapemirim, Campos dos Goytacazes, Volta Redonda - Barra Mansa, Teixeira de Freitas, Angra dos Reis e Teresópolis.Disponível em: http://ibge.gov.br. Acesso em: 9 jul. 2015 (adaptado).O conceito que expressa a relação entre o espaço apresentado e a cidade do Rio de Janeiro é:",A: Frente pioneira; B: Zona de transição; C: Região polarizada; D: Área de conurbação; E: Periferia metropolitana
498,20,C,3.12528,2.15381,0.15346,2016,"TEXTO IDocumentos do século XVI algumas vezes se referem aos habitantes indígenas como “os brasis”, ou “gente brasília” e, ocasionalmente no século XVII, o termo “brasileiro” era a eles aplicado, mas as referências ao status econômico e jurídico desses eram muito mais populares. Assim, os termos “negro da terra” e “índios” eram utilizados com mais frequência do que qualquer outro.SCHWARTZ, S. B. Gente da terra braziliense da nação. Pensando o Brasil: a construção de um povo. In: MOTA, C. G. (Org.). Viagem incompleta: a experiência brasileira (1500-2000). São Paulo: Senac, 2000 (adaptado).TEXTO IIÍndio é um conceito construído no processo de conquista da América pelos europeus. Desinteressados pela diversidade cultural, imbuídos de forte preconceito para com o outro, o indivíduo de outras culturas, espanhóis, portugueses, franceses e anglo-saxões terminaram por denominar da mesma forma povos tão díspares quanto os tupinambás e os astecas.SILVA, K. V.; SILVA, M. H. Dicionário de conceitos históricos . São Paulo: Contexto, 2005.Ao comparar os textos, as formas de designação dos grupos nativos pelos europeus, durante o período analisado, são reveladoras da","A: concepção idealizada do território, entendido como geograﬁcamente indiferenciado; B: percepção corrente de uma ancestralidade comum às populações ameríndias; C: compreensão etnocêntrica acerca das populações dos territórios conquistados; D: transposição direta das categorias originadas no imaginário medieval; E: visão utópica conﬁgurada a partir de fantasias de riqueza"
528,23,E,2.32054,2.67352,0.26115,2016,"Ser ou não ser — eis a questão.Morrer — dormir — Dormir! Talvez sonhar. Aí está o obstáculo!Os sonhos que hão de vir no sono da morte Quando tivermos escapado ao tumulto vitalNos obrigam a hesitar: e é essa a reflexãoQue dá à desventura uma vida tão longa.SHAKESPEARE, W. Hamlet. Porto Alegre: L&PM, 2007.Este solilóquio pode ser considerado um precursor do existencialismo ao enfatizar a tensão entre",A: consciência de si e angústia humana; B: inevitabilidade do destino e incerteza moral; C: tragicidade da personagem e ordem do mundo; D: racionalidade argumentativa e loucura iminente; E: dependência paterna e impossibilidade de ação
580,37,B,1.41913,1.00435,0.21614,2016,"TEXTO I Tradução: “As mulheres do futuro farão da Lua um   lugar mais limpo para se viver”.Disponível em: www.propagandashistoricas.com.br. Acesso em: 16 out. 2015.TEXTO II Metade da nova equipe da Nasa  é composta por mulheresAté hoje, cerca de 350 astronautas americanos já estiveram no espaço, enquanto as mulheres não chegam a ser um terço desse número. Após o anúncio da turma composta 50% por mulheres, alguns internautas escreveram comentários machistas e desrespeitosos sobre a escolha nas redes sociais.Disponível em: https://catracalivre.com.br. Acesso em: 10 mar. 2016.A comparação entre o anúncio publicitário de 1968 e a repercussão da notícia de 2016 mostra a",A: elitização da carreira cientíﬁca; B: qualiﬁcação da atividade doméstica; C: ambição de indústrias patrocinadoras; D: manutenção de estereótipos de gênero; E: equiparação de papéis nas relações familiares
615,43,A,2.2504,1.23952,0.22323,2016,"A África Ocidental é conhecida pela dinâmica das suas mulheres comerciantes, caracterizadas pela perícia, autonomia e mobilidade. A sua presença, que fora atestada por viajantes e por missionários portugueses que visitaram a costa a partir do século XV, consta também na ampla documentação sobre a região. A literatura é rica em referências às grandes mulheres como as vendedoras ambulantes, cujo jeito para o negócio, bem como a autonomia e mobilidade, é tão típico da região.HAVIK, P. Dinâmicas e assimetrias afro-atlânticas: a agência feminina e representações em mudança na Guiné (séculos XIX e XX). In: PANTOJA, S. (Org.). Identidades, memórias e histórias em terras africanas . Brasília: LGE; Luanda: Nzila, 2006.A abordagem realizada pelo autor sobre a vida social da África Ocidental pode ser relacionada a uma característica marcante das cidades no Brasil escravista nos séculos XVIII e XIX, que se observa pela","A: restrição à realização do comércio ambulante por africanos escravizados e seus descendentes; B: convivência entre homens e mulheres livres, de diversas origens, no pequeno comércio; C: presença de mulheres negras no comércio de rua de diversos produtos e alimentos; D: dissolução dos hábitos culturais trazidos do continente de origem dos escravizados; E: entrada de imigrantes portugueses nas atividades ligadas ao pequeno comércio urbano"
743,18,B,1.2352,1.24001,0.25203,2016,"Quanto mais complicada se tornou a produção industrial, mais numerosos passaram a ser os elementos da indústria que exigiam garantia de fornecimento.  Três deles eram de importância fundamental: o trabalho, a terra e o dinheiro. Numa sociedade comercial, esse fornecimento só poderia ser organizado de uma forma: tornando-os disponíveis à compra. Agora eles tinham que ser organizados para a venda no mercado. Isso estava de acordo com a exigência de um sistema de mercado. Sabemos que em um sistema como esse, os lucros só podem ser assegurados se se garante a autorregulação por meio de mercados competitivos interdependentes.POLANYI, K. A grande transformação: as origens de nossa época.   Rio de Janeiro: Campus, 2000 (adaptado). ",A: consequência do processo de transformação socioeconômica abordado no texto é aA expansão das terras comunais; B: limitação do mercado como meio de especulação; C: consolidação da força de trabalho como mercadoria; D: diminuição do comércio como efeito da industrialização; E: adequação do dinheiro como elemento padrão das transações
766,25,B,1.66136,0.83888,0.0888,2016,"O que ocorreu na Bahia de 1798, ao contrário das outras situações de contestação política na América portuguesa, é que o projeto que lhe era subjacente não tocou somente na condição, ou no instrumento, da integração subordinada das colônias no império luso. Dessa feita, ao contrário do que se deu nas Minas Gerais (1789), a sedição avançou sobre a sua decorrência.JANCSÓ, I.; PIMENTA, J. P. Peças de um mosaico. In: MOTA, C. G. (Org.). Viagem incompleta: a experiência brasileira (1500-2000). São Paulo: Senac, 2000.A diferença entre as sedições abordadas no texto encontrava-se na pretensão de",A: eliminar a hierarquia militar; B: abolir a escravidão africana.; C: anular o domínio metropolitano; D: suprimir a propriedade fundiária; E: extinguir o absolutismo monárquico
965,45,D,1.46099,1.33455,0.21994,2016,"TEXTO IDisponível em: http://portal.iphan.gov.br. Acesso em: 6 abr. 2016.TEXTO IIA eleição dos novos bens, ou melhor, de novas formas de se conceber a condição do patrimônio cultural nacional, também permite que diferentes grupos sociais, utilizando as leis do Estado e o apoio de especialistas, revejam as imagens e alegorias do seu passado, do que querem guardar e deﬁnir como próprio e identitário.ABREU, M.; SOIHET, R.; GONTIJO, R. (Org.). Cultura política e leituras do passado : historiograﬁa e ensino de história . Rio de Janeiro: Civilização Brasileira, 2007.O texto chama a atenção para a importância da proteção de bens que, como aquele apresentado na imagem, se identiﬁcam como:",A: Artefatos sagrados; B: Heranças materiais; C: Objetos arqueológicos; D: Peças comercializáveis; E: Conhecimentos tradicionais
970,19,B,3.51578,0.89353,0.27377,2016,"No início de maio de 2014, a instalação da plataforma petrolífera de perfuração HYSY-981 nas águas contestadas do Mar da China Meridional suscitou especulações sobre as motivações chinesas. Na avaliação de diversos observadores ocidentais, Pequim pretendeu, com esse gesto, demonstrar que pode impor seu controle e dissuadir outros países de seguir com suas reivindicações de direito de exploração dessas águas, como é o caso do Vietnã e das Filipinas.KLARE, M.T. A guerra pelo petróleo se joga no mar. Le Monde Diplomatique Brasil, abr. 2015.A ação da China em relação à situação descrita no texto evidencia um conflito que tem como foco o(a):",A: Distribuição das zonas econômicas especiais; B: Monopólio das inovações tecnológicas extrativas; C: Dinamização da atividade comercial.; D: Jurisdição da soberania territorial; E: Embargo da produção industrial
997,41,C,1.72981,1.54535,0.15437,2016,"A Operação Condor está diretamente vinculada às experiências históricas das ditaduras civil-militares que se disseminaram pelo Cone Sul entre as décadas de 1960 e 1980. Depois do Brasil (e do Paraguai de Stroessner), foi a vez da Argentina (1966), Bolívia (1966 e 1971), Uruguai e Chile (1973) e Argentina (novamente, em 1976). Em todos os casos se instalaram ditaduras civil-militares (em menor ou maior medida) com base na Doutrina de Segurança Nacional e tendo como principais características um anticomunismo militante, a identificação do inimigo interno, a imposição do papel político das Forças Armadas e a definição de fronteiras ideológicas.PADRÓS, E. S. et al. Ditadura de Segurança Nacional no Rio Grande do Sul (1964-1985): história e memória. Porto Alegre: Corag, 2009 (adaptado).Levando-se em conta o contexto em que foi criada, a referida operação tinha como objetivo coordenar a",A: modiﬁcação de limites territoriais; B: sobrevivência de oﬁciais exilados; C: interferência de potências mundiais; D: repressão de ativistas oposicionistas; E: implantação de governos nacionalistas
1020,5,A,3.73153,1.43814,0.11749,2016,"A regulação das relações de trabalho compõe uma estrutura complexa, em que cada elemento se ajusta aos demais. A Justiça do Trabalho é apenas uma das peças dessa vasta engrenagem. A presença de representantes classistas na composição dos órgãos da Justiça do Trabalho é também resultante da montagem dessa regulação. O poder normativo também reflete essa característica. Instituída pela Constituição de 1934, a Justiça do Trabalho só vicejou no ambiente político do Estado Novo instaurado em 1937.ROMITA, A. S. Justiça do Trabalho: produto do Estado Novo. In: PANDOLFI, D. (Org.). Repensando o Estado Novo . Rio de Janeiro: Editora FGV, 1999.",A: criação da referida instituição estatal na conjuntura histórica abordada teve por objetivo A legitimar os protestos fabris.; B: ordenar os conflitos laborais; C: oﬁcializar os sindicatos plurais; D: assegurar os princípios liberais; E: uniﬁcar os salários proﬁssionais
1098,33,A,0.83638,1.77395,0.28903,2016,"Hoje, a indústria cultural assumiu a herança civilizatória da democracia de pioneiros e empresários, que tampouco desenvolvera uma ﬁneza de sentido para os desvios espirituais. Todos são livres para dançar e para se divertir, do mesmo modo que, desde a neutralização histórica da religião, são livres para entrar em qualquer uma das inúmeras seitas. Mas a liberdade de escolha da ideologia, que reflete sempre a coerção econômica, revela-se em todos os setores como a liberdade de escolher o que é sempre a mesma coisa.ADORNO, T; HORKHEIMER, M. Dialética do esclarecimento: fragmentos ﬁlosóﬁcos. Rio de Janeiro: Zahar, 1985.","A: liberdade de escolha na civilização ocidental, de acordo com a análise do texto, é um(a)A legado social; B: patrimônio político; C: produto da moralidade; D: conquista da humanidade; E: ilusão da contemporaneidade"
1222,8,C,3.8316,1.1553,0.27617,2016,"Parceria TranspacíficaVietnãCingapura Brunei DarussalamMalásiaAustráliaJapãoNova ZelândiaChilePeruMéxicoEstados UnidosCanadáDisponível em: http://portuguese.brazil.usembassy.gov. Acesso em: 11 maio 2016 (adaptado).Dentro das atuais redes produtivas, o referido bloco apresenta composição estratégica por se tratar de um conjunto de países com",A: elevado padrão social; B: sistema monetário integrado; C: alto desenvolvimento tecnológico; D: identidades culturais semelhantes; E: vantagens locacionais complementares
1233,24,C,3.09578,1.44856,0.07028,2016,Disponível em: www.unric.org. Acesso em: 9 ago. 2013.A ONU faz referência a uma projeção cartográﬁca em seu logotipo. A ﬁgura que ilustra o modelo dessa projeção é:,A: ; B: ; C: ; D: ; E: 
1305,38,D,2.89479,1.2222,0.1929,2016,"Segundo a Conferência de Quioto, os países centrais industrializados, responsáveis históricos pela poluição, deveriam alcançar a meta de redução de 5,2% do total de emissões segundo níveis de 1990. O nó da questão é o enorme custo desse processo, demandando mudanças radicais nas indústrias para que se adaptem rapidamente aos limites de emissão estabelecidos e adotem tecnologias energéticas limpas. A comercialização internacional de créditos de sequestro ou de redução de gases causadores do efeito estufa foi a solução encontrada para reduzir o custo global do processo. Países ou empresas que conseguirem reduzir as emissões abaixo de suas metas poderão vender este crédito para outro país ou empresa que não consiga.BECKER, B. Amazônia: geopolítica na virada do II milênio. Rio de Janeiro: Garamond, 2009.As posições contrárias à estratégia de compensação presente no texto relacionam-se à ideia de que ela promove",A: retração nos atuais níveis de consumo; B: surgimento de conflitos de caráter diplomático; C: diminuição dos lucros na produção de energia; D: desigualdade na distribuição do impacto ecológico; E: decréscimo dos índices de desenvolvimento econômico
1482,40,D,2.1302,2.53802,0.23304,2016,"Dados recentes mostram que muitos são os países periféricos que dependem dos recursos enviados pelos imigrantes que estão nos países centrais. Grande parte dos países da América Latina, por exemplo, depende hoje das remessas de seus imigrantes. Para se ter uma ideia mais concreta, recentes dados divulgados pela ONU revelaram que somente os indianos recebem 10 bilhões de dólares de seus compatriotas no exterior. No México, segundo maior volume de divisas, esse valor chega a 9,9 bilhões de dólares e nas Filipinas, o terceiro, a 8,4 bilhões.HAESBAERT, R.; PORTO-GONÇALVES, C. W. A nova des-ordem mundial . São Paulo: Edunesp, 2006.Um aspecto do mundo globalizado que facilitou a ocorrência do processo descrito, na transição do século XX para o século XXI, foi o(a)",A: integração de culturas distintas; B: avanço técnico das comunicações; C: quebra de barreiras alfandegárias; D: flexibilização de regras trabalhistas; E: desconcentração espacial da produção
1487,11,D,1.05725,0.36748,0.21849,2016,"Nunca nos tornaremos matemáticos, por exemplo, embora nossa memória possua todas as demonstrações feitas por outros, se nosso espírito não for capaz de resolver toda espécie de problemas; não nos tornaríamos ﬁlósofos, por ter lido todos os raciocínios de Platão e Aristóteles, sem poder formular um juízo sólido sobre o que nos é proposto. Assim, de fato, pareceríamos ter aprendido, não ciências, mas histórias.DESCARTES, R. Regras para a orientação do espírito. São Paulo: Martins Fontes, 1999.Em sua busca pelo saber verdadeiro, o autor considera o conhecimento, de modo crítico, como resultado da",A: investigação de natureza empírica; B: retomada da tradição intelectual; C: imposição de valores ortodoxos; D: autonomia do sujeito pensante; E: liberdade do agente moral
1553,28,C,3.9145,1.30384,0.18592,2016,"Pois quem seria tão inútil ou indolente a ponto de não desejar saber como e sob que espécie de constituição os romanos conseguiram em menos de cinquenta e três anos submeter quase todo o mundo habitado ao seu governo exclusivo — fato nunca antes ocorrido? Ou, em outras palavras, quem seria tão apaixonadamente devotado a outros espetáculos ou estudos a ponto de considerar qualquer outro objetivo mais importante que a aquisição desse conhecimento?POLÍBIO. História. Brasília: Editora UnB, 1985.A experiência a que se refere o historiador Políbio, nesse texto escrito no século II a.C., é a",A: ampliação do contingente de camponeses livres; B: consolidação do poder das falanges hoplitas; C: concretização do desígnio imperialista; D: adoção do monoteísmo cristão; E: libertação do domínio etrusco
1567,17,C,4.2708,1.21258,0.41167,2016,"SATRAPI, M.  Persépolis. São Paulo: Cia. das Letras, 2007 (adaptado).A memória recuperada pela autora apresenta a relação entre",A: conflito trabalhista e engajamento sindical; B: organização familiar e proteção à infância; C: centralização econômica e pregação religiosa; D: estrutura educacional e desigualdade de renda; E: transformação política e modiﬁcação de costumes
1831,2,E,3.29749,0.64189,0.20016,2016,"TEXTO IFragmento B91: Não se pode banhar duas vezes no mesmo rio, nem substância mortal alcançar duas vezes a mesma condição; mas pela intensidade e rapidez da mudança, dispersa e de novo reúne.HERÁCLITO. Fragmentos (Sobre a natureza). São Paulo: Abril Cultural, 1996 (adaptado).TEXTO IIFragmento B8: São muitos os sinais de que o ser é ingênito e indestrutível, pois é compacto, inabalável e sem ﬁm; não foi nem será, pois é agora um todo homogêneo, uno, contínuo. Como poderia o que é perecer? Como poderia gerar-se?PARMÊNIDES. Da natureza. São Paulo: Loyola, 2002 (adaptado).Os fragmentos do pensamento pré-socrático expõem uma oposição que se insere no campo das",A: investigações do pensamento sistemático; B: preocupações do período mitológico; C: discussões de base ontológica; D: habilidades da retórica sofística; E: verdades do mundo sensível
1920,9,E,1.47435,0.03534,0.01377,2016,"A democracia deliberativa aﬁrma que as partes do conflito político devem deliberar entre si e, por meio de argumentação razoável, tentar chegar a um acordo sobre as políticas que seja satisfatório para todos. A democracia ativista desconﬁa das exortações à deliberação por acreditar que, no mundo real da política, onde as desigualdades estruturais influenciam procedimentos e resultados, processos democráticos que parecem cumprir as normas de deliberação geralmente tendem a beneﬁciar os agentes mais poderosos. Ela recomenda, portanto, que aqueles que se preocupam com a promoção de mais justiça devem realizar principalmente a atividade de oposição crítica, em vez de tentar chegar a um acordo com quem sustenta estruturas de poder existentes ou delas se beneﬁcia.YOUNG, I. M. Desaﬁos ativistas à democracia deliberativa.  Revista Brasileira de Ciência Política, n. 13, jan.-abr. 2014.As concepções de democracia deliberativa e de democracia ativista apresentadas no texto tratam como imprescindíveis, respectivamente,",A: a decisão da maioria e a uniformização de direitos; B: a organização de eleições e o movimento anarquista; C: a obtenção do consenso e a mobilização das minorias; D: a fragmentação da participação e a desobediência civil; E: a imposição de resistência e o monitoramento da liberdade
2014,15,D,2.78268,1.11385,0.19865,2016,"A promessa da tecnologia moderna se converteu em uma ameaça, ou esta se associou àquela de forma indissolúvel. Ela vai além da constatação da ameaça física. Concebida para a felicidade humana, a submissão da natureza, na sobremedida de seu sucesso, que agora se estende à própria natureza do homem, conduziu ao maior desaﬁo já posto ao ser humano pela sua própria ação. O novo continente da práxis coletiva que adentramos com a alta tecnologia ainda constitui, para a teoria ética, uma terra de ninguém.JONAS, H. O princípio da responsabilidade . Rio de Janeiro:  Contraponto; Editora PUC-Rio, 2011 (adaptado).As implicações éticas da articulação apresentada no texto impulsionam a necessidade de construção de um novo padrão de comportamento, cujo objetivo consiste em garantir o(a)",A: pragmatismo da escolha individual; B: sobrevivência de gerações futuras; C: fortalecimento de políticas liberais; D: valorização de múltiplas etnias; E: promoção da inclusão social
