numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas,gabarito_texto,distratores,enunciado_limpo,alternativas_limpo,gabarito_texto_limpo,distratores_limpo
55,A,2.11017,1.58198,0.23073,2020,"         Política, AristótelesVemos que toda cidade é uma espécie de comunidade, e toda comunidade se forma com vistas a algum bem, pois todas as ações de todos os homens são praticadas com vistas ao que lhe parece um bem; se todas as comunidades visam algum bem, é evidente que a mais importante de todas elas e que inclui todas as outras tem mais que todas este objetivo e visa ao mais importante de todos os bens. No fragmento, Aristóteles promove uma reflexão que associa dois elementos essenciais à discussão sobre a vida em comunidade, a saber:","A:  Ética e política, pois conduzem à eudaimonia ; B:  Retórica e linguagem, pois cuidam dos discursos na ágora; C:  Metafísica e ontologia, pois tratam da filosofia primeira; D:  Democracia e sociedade, pois se referem a relações sociais; E:  Geração e corrupção, pois abarcam o campo da physis","Ética e política, pois conduzem à eudaimonia","Retórica e linguagem, pois cuidam dos discursos na ágora; Metafísica e ontologia, pois tratam da filosofia primeira; Democracia e sociedade, pois se referem a relações sociais; Geração e corrupção, pois abarcam o campo da physis",algum aristóteles aristótelesvemos associa ações bem bens cidade comunidade comunidades discussão dois elementos espécie essenciais evidente forma fragmento homens importante inclui objetivo outras parece pois política praticadas promove reflexão saber sobre toda todas todos vida visa visam vistas,A: conduzem eudaimonia pois política ética; B: cuidam discursos linguagem pois retórica ágora; C: filosofia metafísica ontologia pois primeira tratam; D: democracia pois referem relações sociais sociedade; E: abarcam campo corrupção geração physis pois,conduzem eudaimonia pois política ética,abarcam campo corrupção cuidam democracia discursos filosofia geração linguagem metafísica ontologia physis pois primeira referem relações retórica sociais sociedade tratam ágora
56,C,3.98011,0.78922,0.18995,2020,"         O toyotismo, a partir dos anos 1970, teve grande impacto no mundo ocidental, quando se mostrou para os países avançados como uma opção possível para a superação de uma crise de acumulação.A característica organizacional do modelo em questão, requerida no contexto de crise, foi o(a) ",A:  expansão dos grandes estoques; B:  incremento da fabricação em massa; C:  adequação da produção à demanda.; D:  aumento da mecanização do trabalho; E:  centralização das etapas de planejamento,adequação da produção à demanda.,expansão dos grandes estoques; incremento da fabricação em massa; aumento da mecanização do trabalho; centralização das etapas de planejamento,acumulação anos avançados característica contexto crise grande impacto modelo mostrou mundo ocidental opção organizacional partir países possível questão requerida superação toyotismo,A: estoques expansão grandes; B: fabricação incremento massa; C: adequação demanda produção; D: aumento mecanização trabalho; E: centralização etapas planejamento,adequação demanda produção,aumento centralização estoques etapas expansão fabricação grandes incremento massa mecanização planejamento trabalho
57,D,1.68186,0.1343,0.17621,2020,"         Migrações e trabalho sob contrato no século XIX, Marco Aurelio dos Santos   O fenômeno histórico conhecido como “tráfico de coolies ” esteve associado diretamente ao período que vai do final da década de 1840 até o ano de 1874, quando milhares de chineses foram encaminhados principalmente para Cuba e o Peru e muitos abusos no recrutamento de mão de obra foram identificados. O tráfico de coolies ou, em outros termos, o transporte por meios coativos de mão de obra de um lugar para outro, foi comparado ao tráfico africano de escravos por muitos periodistas e analistas do século XIX.A comparação mencionada no texto foi possível em razão da seguinte característica:",A:  Oferta de contrato formal; B:  Origem étnica dos grupos de trabalhadores; C:  Conhecimento das tarefas desenvolvidas; D:  Controle opressivo das vidas dos indivíduos; E:  Investimento requerido dos empregadores,Controle opressivo das vidas dos indivíduos,Oferta de contrato formal; Origem étnica dos grupos de trabalhadores; Conhecimento das tarefas desenvolvidas; Investimento requerido dos empregadores,abusos africano analistas ano associado aurelio característica chineses coativos comparado comparação conhecido contrato coolies cuba diretamente década encaminhados escravos fenômeno final histórico identificados lugar marco meios mencionada migrações milhares muitos mão obra outro outros periodistas peru período possível principalmente razão recrutamento santos seguinte sob século termos texto trabalho transporte tráfico vai xix,A: contrato formal oferta; B: grupos origem trabalhadores étnica; C: conhecimento desenvolvidas tarefas; D: controle indivíduos opressivo vidas; E: empregadores investimento requerido,controle indivíduos opressivo vidas,conhecimento contrato desenvolvidas empregadores formal grupos investimento oferta origem requerido tarefas trabalhadores étnica
58,B,1.63948,3.22867,0.14221,2020,         Os aspectos físicos apresentados originam-se da atuação da força natural de,A:  colisão de placas tectônicas.; B:  rifteamento da crosta terrestre.; C:  subducção da plataforma oceânica.; D:  formação de cadeias montanhosas; E:  metamorfismo de bordas continentais,rifteamento da crosta terrestre.,colisão de placas tectônicas.; subducção da plataforma oceânica.; formação de cadeias montanhosas; metamorfismo de bordas continentais,apresentados aspectos atuação força físicos natural originam,A: colisão placas tectônicas; B: crosta rifteamento terrestre; C: oceânica plataforma subducção; D: cadeias formação montanhosas; E: bordas continentais metamorfismo,crosta rifteamento terrestre,bordas cadeias colisão continentais formação metamorfismo montanhosas oceânica placas plataforma subducção tectônicas
59,D,2.05053,0.95988,0.14344,2020,"A reabilitação da biografia histórica integrou as aquisições da história social e cultural, oferecendo aos diferentes atores históricos uma importância diferenciada, distinta, individual. Mas não se tratava mais de fazer, simplesmente, a história dos grandes nomes, em formato hagiográfico — quase uma vida de santo —, sem problemas, nem máculas. Mas de examinar os atores abre parêntese ou o ator fecha parêntese  célebres ou não, como testemunhas, como reflexos, como reveladores de uma época.De acordo com o texto, novos estudos têm valorizado a história do indivíduo por se constituir como possibilidade de Descrição da imagem",A:  adesão ao método positivista; B:  expressão do papel das elites; C:  resgate das narrativas heroicas; D:  acesso ao cotidiano das comunidades; E:  interpretação das manifestações do divino.,acesso ao cotidiano das comunidades,adesão ao método positivista; expressão do papel das elites; resgate das narrativas heroicas; interpretação das manifestações do divino.,abre acordo aquisições ator atores biografia constituir cultural célebres descrição diferenciada diferentes distinta estudos examinar fazer fecha formato grandes hagiográfico história histórica históricos imagem importância individual indivíduo integrou máculas nomes novos oferecendo parêntese possibilidade problemas quase reabilitação reflexos reveladores santo simplesmente social testemunhas texto tratava têm valorizado vida época,A: adesão método positivista; B: elites expressão papel; C: heroicas narrativas resgate; D: acesso comunidades cotidiano; E: divino interpretação manifestações,acesso comunidades cotidiano,adesão divino elites expressão heroicas interpretação manifestações método narrativas papel positivista resgate
60,E,2.31975,1.58949,0.11892,2020,"         A sociedade como um sistema justo de cooperação social consiste em uma das ideias familiares fundamentais, que dá estrutura e organização à justiça como equidade. A cooperação social guia-se por regras e procedimentos publicamente reconhecidos e aceitos por aqueles que cooperam como sendo apropriados para regular a sua conduta. Diz-se que a cooperação é justa porque seus termos são tais que todos os participantes podem razoavelmente aceitar, desde que todos os demais também o aceitem.No contexto do pensamento político, a ideia apresentada mostra-se consoante o(a)",A:  ideal republicano de governo.; B:  corrente tripartite dos poderes; C:  posicionamento crítico do socialismo; D:  legitimidade do absolutismo monárquico; E:  entendimento do contratualismo moderno,entendimento do contratualismo moderno,ideal republicano de governo.; corrente tripartite dos poderes; posicionamento crítico do socialismo; legitimidade do absolutismo monárquico,aceitar aceitem aceitos apresentada apropriados conduta consiste consoante contexto cooperam cooperação demais desde diz dá equidade estrutura familiares fundamentais guia ideia ideias justa justiça justo mostra organização participantes pensamento podem político porque procedimentos publicamente razoavelmente reconhecidos regras regular sendo sistema social sociedade tais termos todos,A: governo ideal republicano; B: corrente poderes tripartite; C: crítico posicionamento socialismo; D: absolutismo legitimidade monárquico; E: contratualismo entendimento moderno,contratualismo entendimento moderno,absolutismo corrente crítico governo ideal legitimidade monárquico poderes posicionamento republicano socialismo tripartite
61,E,1.92473,1.50185,0.12074,2020,"         Com efeito, até a destruição de Cartago, o povo e o Senado romano governavam a República em harmonia e sem paixão, e não havia entre os cidadãos luta por glória ou dominação; o medo do inimigo mantinha a cidade no cumprimento do dever. Mas, assim que o medo desapareceu dos espíritos, introduziram-se os males pelos quais a prosperidade tem predileção, isto é, a libertinagem e o orgulho. O acontecimento histórico mencionado no texto de Salústio, datado de I a.C., manteve correspondência com o processo de",A:  demarcação de terras públicas.; B:  imposição da escravidão por dívidas; C:  restrição da cidadania por parentesco; D:  restauração de instituições ancestrais; E:  expansão das fronteiras extrapeninsulares,expansão das fronteiras extrapeninsulares,demarcação de terras públicas.; imposição da escravidão por dívidas; restrição da cidadania por parentesco; restauração de instituições ancestrais,acontecimento assim c cartago cidade cidadãos correspondência cumprimento datado desapareceu destruição dever dominação efeito espíritos glória governavam harmonia havia histórico i inimigo introduziram libertinagem luta males manteve mantinha medo mencionado orgulho paixão povo predileção processo prosperidade quais república romano salústio senado texto,A: demarcação públicas terras; B: dívidas escravidão imposição; C: cidadania parentesco restrição; D: ancestrais instituições restauração; E: expansão extrapeninsulares fronteiras,expansão extrapeninsulares fronteiras,ancestrais cidadania demarcação dívidas escravidão imposição instituições parentesco públicas restauração restrição terras
62,B,2.17784,1.21931,0.26503,2020,"         O movimento sedicioso ocorrido na capitania de Pernambuco, no ano 1817, foi analisado de formas diferentes por dois meios de comunicação daquela época. O Correio Braziliense apontou para o fato de ser “a comoção no Brasil motivada por um descontentamento geral, e não por maquinações de alguns indivíduos”. Já a Gazeta do Rio de Janeiro considerou o movimento como um “pontual desvio de norma, apenas uma ‘mancha’ nas ‘páginas da História Portuguesa’, tão distinta pelos testemunhos de amor e respeito que os vassalos desta nação consagram ao seu soberano”.Os fragmentos das matérias jornalísticas sobre o acontecimento, embora com percepções diversas, relacionam-se a um aspecto do processo de independência da colônia luso-americana expresso em dissensões entre",A:  quadros dirigentes em torno da abolição da ordem escravocrata; B:  grupos regionais acerca da configuração político--territorial; C:  intelectuais laicos acerca da revogação do domínio eclesiástico; D:  homens livres em torno da extensão do direito de voto; E:  elites locais acerca da ordenação do monopólio fundiário,grupos regionais acerca da configuração político--territorial,quadros dirigentes em torno da abolição da ordem escravocrata; intelectuais laicos acerca da revogação do domínio eclesiástico; homens livres em torno da extensão do direito de voto; elites locais acerca da ordenação do monopólio fundiário,acontecimento alguns americana amor analisado ano apenas apontou aspecto brasil braziliense capitania colônia comoção comunicação consagram considerou correio daquela descontentamento desta desvio diferentes dissensões distinta diversas dois embora expresso fato formas fragmentos gazeta geral história independência indivíduos janeiro jornalísticas luso mancha maquinações matérias meios motivada movimento nação norma ocorrido percepções pernambuco pontual portuguesa processo páginas relacionam respeito rio sedicioso soberano sobre testemunhos tão vassalos época,A: abolição dirigentes escravocrata ordem quadros torno; B: acerca configuração grupos político regionais territorial; C: acerca domínio eclesiástico intelectuais laicos revogação; D: direito extensão homens livres torno voto; E: acerca elites fundiário locais monopólio ordenação,acerca configuração grupos político regionais territorial,abolição acerca direito dirigentes domínio eclesiástico elites escravocrata extensão fundiário homens intelectuais laicos livres locais monopólio ordem ordenação quadros revogação torno voto
63,D,3.55293,1.2341,0.18404,2020,"         Declaração de Direitos do Homem e do Cidadão – 1789Os representantes do povo francês, tendo em vista que a ignorância, o esquecimento ou o desprezo dos direitos do homem são as únicas causas dos males públicos e da corrupção dos governos, resolveram declarar solenemente os direitos naturais, inalienáveis e sagrados do homem, a fim de que esta declaração, sempre presente em todos os membros do corpo social, lhes lembre permanentemente seus direitos e seus deveres; a fim de que as reivindicações dos cidadãos, fundadas em princípios simples e incontestáveis, se dirijam sempre à conservação da Constituição e à felicidade geral.Esse documento, elaborado no contexto da Revolução Francesa, reflete uma profunda mudança social ao estabelecer a",A:  manutenção das terras comunais; B:  supressão do poder constituinte; C:  falência da sociedade burguesa; D:  paridade do tratamento jurídico; E:  abolição dos partidos políticos,paridade do tratamento jurídico,manutenção das terras comunais; supressão do poder constituinte; falência da sociedade burguesa; abolição dos partidos políticos,causas cidadão cidadãos conservação constituição contexto corpo corrupção declarar declaração desprezo deveres direitos dirijam documento elaborado esquecimento estabelecer felicidade fim francesa francês fundadas geral governos homem ignorância inalienáveis incontestáveis lembre males membros mudança naturais permanentemente povo presente princípios profunda públicos reflete reivindicações representantes resolveram revolução sagrados sempre simples social solenemente tendo todos vista únicas,A: comunais manutenção terras; B: constituinte poder supressão; C: burguesa falência sociedade; D: jurídico paridade tratamento; E: abolição partidos políticos,jurídico paridade tratamento,abolição burguesa comunais constituinte falência manutenção partidos poder políticos sociedade supressão terras
64,E,3.71752,1.25879,0.16922,2020,"         Na Grécia, o conceito de povo abrange tão somente aqueles indivíduos considerados cidadãos. Assim é possível perceber que o conceito de povo era muito restritivo. Mesmo tendo isso em conta, a forma democrática vivenciada e experimentada pelos gregos atenienses nos séculos IV e V a.C. pode ser caracterizada, fundamentalmente, como direta.Naquele contexto, a emergência do sistema de governo mencionado no excerto promoveu o(a)",A:  competição para a escolha de representantes; B:  campanha pela revitalização das oligarquias; C:  estabelecimento de mandatos temporários; D:  declínio da sociedade civil organizada; E:  participação no exercício do poder,participação no exercício do poder,competição para a escolha de representantes; campanha pela revitalização das oligarquias; estabelecimento de mandatos temporários; declínio da sociedade civil organizada,abrange assim atenienses c caracterizada cidadãos conceito considerados conta contexto democrática direta emergência excerto experimentada forma fundamentalmente governo gregos grécia indivíduos iv mencionado naquele perceber pode possível povo promoveu restritivo sistema somente séculos tendo tão v vivenciada,A: competição escolha representantes; B: campanha oligarquias revitalização; C: estabelecimento mandatos temporários; D: civil declínio organizada sociedade; E: exercício participação poder,exercício participação poder,campanha civil competição declínio escolha estabelecimento mandatos oligarquias organizada representantes revitalização sociedade temporários
65,D,2.10695,0.73908,0.14776,2020,"         Dois grandes eventos históricos tornaram possível um caso como o de Menocchio: a invenção da imprensa e a Reforma. A imprensa lhe permitiu confrontar os livros com a tradição oral em que havia crescido e lhe forneceu as palavras para organizar o amontoado de ideias e fantasias que nele conviviam. A Reforma lhe deu audácia para comunicar o que pensava ao padre do vilarejo, conterrâneos, inquisidores — mesmo não tendo conseguido dizer tudo diante do papa, dos cardeais e dos príncipes, como queria.Os acontecimentos históricos citados ajudaram esse indivíduo, no século XVI, a repensar a visão católica do mundo ao possibilitarem a",A:  consulta pública das bibliotecas reais; B:  sofisticação barroca do ritual litúrgico; C:  aceitação popular da educação secular; D:  interpretação autônoma dos textos bíblicos; E:  correção doutrinária das heresias medievais,interpretação autônoma dos textos bíblicos,consulta pública das bibliotecas reais; sofisticação barroca do ritual litúrgico; aceitação popular da educação secular; correção doutrinária das heresias medievais,acontecimentos ajudaram amontoado audácia cardeais caso católica citados comunicar confrontar conseguido conterrâneos conviviam crescido deu diante dizer dois eventos fantasias forneceu grandes havia históricos ideias imprensa indivíduo inquisidores invenção livros menocchio mundo nele oral organizar padre palavras papa pensava permitiu possibilitarem possível príncipes queria reforma repensar século tendo tornaram tradição tudo vilarejo visão xvi,A: bibliotecas consulta pública reais; B: barroca litúrgico ritual sofisticação; C: aceitação educação popular secular; D: autônoma bíblicos interpretação textos; E: correção doutrinária heresias medievais,autônoma bíblicos interpretação textos,aceitação barroca bibliotecas consulta correção doutrinária educação heresias litúrgico medievais popular pública reais ritual secular sofisticação
66,D,1.93888,0.76774,0.16887,2020,"         Aventuras de Alice: no País das Maravilhas, Através do espelho e outros textos, Lewis Carroll“Devo estar chegando perto do centro da Terra. Deixe ver: deve ter sido mais de seis mil quilômetros, por aí...”  abre parêntese  como se vê, Alice tinha aprendido uma porção de coisas desse tipo na escola, e embora essa não fosse uma oportunidade lá muito boa de demonstrar conhecimentos, já que não havia ninguém por perto para escutá-la, em todo caso era bom praticar um pouco fecha parêntese “... sim, deve ser mais ou menos essa a distância... mas então qual seria a latitude ou longitude em que estou?” abre parêntese Alice não tinha a menor ideia do que fosse latitude ou longitude, mas achou que eram palavras muito imponentes fecha parêntese .O texto descreve uma confusão da personagem em relação",A:  ao tipo de projeção cartográfica; B:  aos contornos dos fusos horários; C:  à localização do norte magnético; D:  aos referenciais de posição relativa; E:  às distorções das formas continentais,aos referenciais de posição relativa,ao tipo de projeção cartográfica; aos contornos dos fusos horários; à localização do norte magnético; às distorções das formas continentais,abre achou alice aprendido através aventuras aí boa bom carroll caso centro chegando coisas confusão conhecimentos deixe demonstrar descreve desse deve devo distância embora então escola escutá espelho fecha havia ideia imponentes la latitude lewis longitude lá maravilhas menor menos mil ninguém oportunidade outros palavras parêntese país personagem perto porção pouco praticar quilômetros relação seis sido sim ter terra texto textos tipo todo ver vê,A: cartográfica projeção tipo; B: contornos fusos horários; C: localização magnético norte; D: posição referenciais relativa; E: continentais distorções formas,posição referenciais relativa,cartográfica continentais contornos distorções formas fusos horários localização magnético norte projeção tipo
67,A,3.86355,0.08927,0.13133,2020,"         A arte pré-histórica africana foi incontestavelmente um veículo de mensagens pedagógicas e sociais. Os San, que constituem hoje o povo mais próximo da realidade das representações rupestres, afirmam que seus antepassados lhes explicaram sua visão do mundo a partir desse gigantesco livro de imagens que são as galerias. A educação dos povos que desconhecem a escrita está baseada sobretudo na imagem e no som, no audiovisual.De acordo com o texto, a arte mencionada é importante para os povos que a cultivam por colaborar para o(a)",A:  transmissão dos saberes acumulados; B:  expansão da propriedade individual; C:  ruptura da disciplina hierárquica; D:  surgimento dos laços familiares; E:  rejeição de práticas exógenas,transmissão dos saberes acumulados,expansão da propriedade individual; ruptura da disciplina hierárquica; surgimento dos laços familiares; rejeição de práticas exógenas,acordo afirmam africana antepassados arte audiovisual baseada colaborar constituem cultivam desconhecem desse educação escrita explicaram galerias gigantesco histórica hoje imagem imagens importante incontestavelmente livro mencionada mensagens mundo partir pedagógicas povo povos pré próximo realidade representações rupestres san sobretudo sociais som texto veículo visão,A: acumulados saberes transmissão; B: expansão individual propriedade; C: disciplina hierárquica ruptura; D: familiares laços surgimento; E: exógenas práticas rejeição,acumulados saberes transmissão,disciplina expansão exógenas familiares hierárquica individual laços propriedade práticas rejeição ruptura surgimento
68,E,1.63342,3.51778,0.12276,2020,"         Uma breve introdução à filosofia, Thomas NagelSerá que as coisas lhe pareceriam diferentes se, de fato, todas elas existissem apenas na sua mente — se tudo o que você julgasse ser o mundo externo real fosse apenas um sonho ou alucinação gigante, de que você jamais fosse despertar? Se assim fosse, então é claro que você nunca poderia despertar, como faz quando sonha, pois significaria que não há mundo “real” no qual despertar. Logo, não seria exatamente igual a um sonho ou alucinação normal.O texto confere visibilidade a uma doutrina filosófica contemporânea conhecida como:","A:  Personalismo, que vincula a realidade circundante aos domínios do pessoal; B:  Falsificacionismo, que estabelece ciclos de problemas para refutar uma conjectura; C:  Falibilismo, que rejeita mecanismos mentais para sustentar uma crença inequívoca; D:  Idealismo, que nega a existência de objetos independentemente do trabalho cognoscente; E:  Solipsismo, que reconhece limitações cognitivas para compreender uma experiência compartilhada","Solipsismo, que reconhece limitações cognitivas para compreender uma experiência compartilhada","Personalismo, que vincula a realidade circundante aos domínios do pessoal; Falsificacionismo, que estabelece ciclos de problemas para refutar uma conjectura; Falibilismo, que rejeita mecanismos mentais para sustentar uma crença inequívoca; Idealismo, que nega a existência de objetos independentemente do trabalho cognoscente",alucinação apenas assim breve claro coisas confere conhecida contemporânea despertar diferentes doutrina então exatamente existissem externo fato faz filosofia filosófica gigante igual introdução jamais julgasse logo mente mundo nagelserá normal nunca pareceriam poderia pois real significaria sonha sonho texto thomas todas tudo visibilidade,A: circundante domínios personalismo pessoal realidade vincula; B: ciclos conjectura estabelece falsificacionismo problemas refutar; C: crença falibilismo inequívoca mecanismos mentais rejeita sustentar; D: cognoscente existência idealismo independentemente nega objetos trabalho; E: cognitivas compartilhada compreender experiência limitações reconhece solipsismo,cognitivas compartilhada compreender experiência limitações reconhece solipsismo,ciclos circundante cognoscente conjectura crença domínios estabelece existência falibilismo falsificacionismo idealismo independentemente inequívoca mecanismos mentais nega objetos personalismo pessoal problemas realidade refutar rejeita sustentar trabalho vincula
69,C,1.02685,0.10876,0.19583,2020,"TEXTO I TEXTO IIO Rio Tietê está morto. Ao menos uma parte dele: 137 quilômetros, para ser mais preciso. Uma pesquisa da Fundação SOS Mata Atlântica mostra que, em 2016, o trecho do rio com qualidade de água classificada como ruim ou péssima começa em Itaquaquecetuba, passa por toda a Região Metropolitana de São Paulo e chega até Cabreúva, já no interior de São Paulo. Nesse trecho, a água não tem oxigênio suficiente para abrigar vida.Considerando a análise dos textos, a condição atual desse rio tem como origem a Descrição da imagem",A:  valorização do sítio urbano; B:  extinção da vegetação nativa.; C:  recepção de densa carga de dejetos; D:  captação desordenada do regime pluvial; E:  expansão do uso de defensivos químicos.,recepção de densa carga de dejetos,valorização do sítio urbano; extinção da vegetação nativa.; captação desordenada do regime pluvial; expansão do uso de defensivos químicos.,abrigar análise atlântica atual cabreúva chega classificada começa condição considerando descrição desse fundação i iio imagem interior itaquaquecetuba mata menos metropolitana morto mostra nesse origem oxigênio parte passa paulo pesquisa preciso péssima qualidade quilômetros região rio ruim sos suficiente texto textos tietê toda trecho vida água,A: sítio urbano valorização; B: extinção nativa vegetação; C: carga dejetos densa recepção; D: captação desordenada pluvial regime; E: defensivos expansão químicos uso,carga dejetos densa recepção,captação defensivos desordenada expansão extinção nativa pluvial químicos regime sítio urbano uso valorização vegetação
70,D,2.78486,0.55811,0.19808,2020,"         Uma investigação sobre o entendimento humano, David HumeAdão, ainda que supuséssemos que suas faculdades racionais fossem inteiramente perfeitas desde o início, não poderia ter inferido da fluidez e transparência da água que ela o sufocaria, nem da luminosidade e calor do fogo que este poderia consumi-lo. Nenhum objeto jamais revela, pelas qualidades que aparecem aos sentidos, nem as causas que o produziram, nem os efeitos que dele provirão; e tampouco nossa razão é capaz de extrair, sem auxílio da experiência, qualquer conclusão referente à existência efetiva de coisas ou questões de fato.Segundo o autor, qual é a origem do conhecimento humano?",A:  A potência inata da mente.; B:  A revelação da inspiração divina; C:  O estudo das tradições filosóficas; D:  A vivência dos fenômenos do mundo; E:  O desenvolvimento do raciocínio abstrato,A vivência dos fenômenos do mundo,A potência inata da mente.; A revelação da inspiração divina; O estudo das tradições filosóficas; O desenvolvimento do raciocínio abstrato,ainda aparecem autor auxílio calor capaz causas coisas conclusão conhecimento consumi david desde efeitos efetiva entendimento existência experiência extrair faculdades fato fluidez fogo humano humeadão inferido inteiramente investigação início jamais lo luminosidade nenhum objeto origem perfeitas poderia produziram provirão qualidades qualquer questões racionais razão referente revela segundo sentidos sobre sufocaria supuséssemos tampouco ter transparência água,A: inata mente potência; B: divina inspiração revelação; C: estudo filosóficas tradições; D: fenômenos mundo vivência; E: abstrato desenvolvimento raciocínio,fenômenos mundo vivência,abstrato desenvolvimento divina estudo filosóficas inata inspiração mente potência raciocínio revelação tradições
71,D,1.02714,0.71578,0.17357,2020,"         TEXTO IO aumento de casos suspeitos de febre amarela em Minas pode estar relacionado à tragédia de Mariana, em 2015, segundo a bióloga da Fiocruz Márcia Chame. A hipótese tem como ponto de partida a localização das cidades mineiras que identificaram até o momento casos de pacientes com sintomas da doença. Grande parte está na região próxima do Rio Doce, afetado pelo rompimento da Barragem de Fundão, em novembro de 2015. TEXTO IIPor outro lado, Servio Ribeiro considera remota a possibilidade de influência da tragédia de Mariana (MG) neste surto de febre amarela em Minas Gerais. “A febre amarela é uma doença de interior de floresta. O mosquito que a transmite põe ovos em cavidades de árvores e em bromélias. É um mosquito da estrutura da floresta. Ele não se relaciona muito com grandes corpos-d’água e com rios. As cidades afetadas pela doença estão em uma região onde os rejeitos não chegaram com força para derrubar a floresta”, diz o biólogo.Sobre a tragédia de Mariana, os textos apresentam divergência quanto ao(à)",A:  poluição dos rios locais; B:  identificação da área afetada; C:  destruição da vegetação nativa; D:  aparecimento de enfermidade endêmica; E:  surgimento de comunidades desabrigadas,aparecimento de enfermidade endêmica,poluição dos rios locais; identificação da área afetada; destruição da vegetação nativa; surgimento de comunidades desabrigadas,afetadas afetado amarela apresentam aumento barragem bióloga biólogo bromélias casos cavidades chame chegaram cidades considera corpos d derrubar divergência diz doce doença estrutura febre fiocruz floresta força fundão gerais grande grandes hipótese identificaram iipor influência interior io lado localização mariana mg minas mineiras momento mosquito márcia neste novembro onde outro ovos pacientes parte partida pode ponto possibilidade próxima põe quanto região rejeitos relaciona relacionado remota ribeiro rio rios rompimento segundo servio sintomas sobre surto suspeitos texto textos tragédia transmite água árvores,A: locais poluição rios; B: afetada identificação área; C: destruição nativa vegetação; D: aparecimento endêmica enfermidade; E: comunidades desabrigadas surgimento,aparecimento endêmica enfermidade,afetada comunidades desabrigadas destruição identificação locais nativa poluição rios surgimento vegetação área
72,C,1.63725,1.31747,0.18855,2020,"         Os seringueiros amazônicos eram invisíveis no cenário nacional nos anos 1970. Começaram a se articular como um movimento agrário no início dos anos 1980, e na década seguinte conseguiram reconhecimento nacional, obtendo a implantação das primeiras reservas extrativas após o assassinato de Chico Mendes. Assim, em vinte anos, os camponeses da floresta passaram da invisibilidade à posição de paradigma de desenvolvimento sustentável com participação popular.De acordo com o texto, a visibilidade dos seringueiros amazônicos foi estabelecida pela relação entre",A:  crescimento econômico e migração de trabalhadores; B:  produção de borracha e escassez de recursos naturais; C:  reivindicação de terra e preservação de mata nativa; D:  incentivo governamental e conservação de territórios; E:  modernização de plantio e comércio de látex,reivindicação de terra e preservação de mata nativa,crescimento econômico e migração de trabalhadores; produção de borracha e escassez de recursos naturais; incentivo governamental e conservação de territórios; modernização de plantio e comércio de látex,acordo agrário amazônicos anos após articular assassinato assim camponeses cenário chico começaram conseguiram desenvolvimento década estabelecida extrativas floresta implantação invisibilidade invisíveis início mendes movimento nacional obtendo paradigma participação passaram popular posição primeiras reconhecimento relação reservas seguinte seringueiros sustentável texto vinte visibilidade,A: crescimento econômico migração trabalhadores; B: borracha escassez naturais produção recursos; C: mata nativa preservação reivindicação terra; D: conservação governamental incentivo territórios; E: comércio látex modernização plantio,mata nativa preservação reivindicação terra,borracha comércio conservação crescimento econômico escassez governamental incentivo látex migração modernização naturais plantio produção recursos territórios trabalhadores
73,C,2.11495,1.84337,0.12869,2020,"         Porque todos confessamos não se poder viver sem alguns escravos, que busquem a lenha e a água, e façam cada dia o pão que se come, e outros serviços que não são possíveis poderem-se fazer pelos Irmãos Jesuítas, máxime sendo tão poucos, que seria necessário deixar as confissões e tudo mais. Parece-me que a Companhia de Jesus deve ter e adquirir escravos, justamente, por meios que as Constituições permitem, quando puder para nossos colégios e casas de meninos.O texto explicita premissas da expansão ultramarina portuguesa ao buscar justificar a",A:  propagação do ideário cristão; B:  valorização do trabalho braçal; C:  adoção do cativeiro na Colônia; D:  adesão ao ascetismo contemplativo; E:  alfabetização dos indígenas nas Missões,adoção do cativeiro na Colônia,propagação do ideário cristão; valorização do trabalho braçal; adesão ao ascetismo contemplativo; alfabetização dos indígenas nas Missões,adquirir alguns buscar busquem cada casas colégios come companhia confessamos confissões constituições deixar deve dia escravos expansão explicita fazer façam irmãos jesus jesuítas justamente justificar lenha meios meninos máxime necessário outros parece permitem poder poderem porque portuguesa possíveis poucos premissas puder pão sendo serviços ter texto todos tudo tão ultramarina viver água,A: cristão ideário propagação; B: braçal trabalho valorização; C: adoção cativeiro colônia; D: adesão ascetismo contemplativo; E: alfabetização indígenas missões,adoção cativeiro colônia,adesão alfabetização ascetismo braçal contemplativo cristão ideário indígenas missões propagação trabalho valorização
