CO_POSICAO,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,ANO,QUESTOES,ALTERNATIVAS
81,E,2.82762,1.76871,0.08145,2018,"TEXTO IAs fronteiras, ao mesmo tempo que se separam, unem e articulam, por elas passando discursos de legitimação da ordem social tanto quanto do conflito.CUNHA, L. Terras lusitanas e gentes dos brasis: a nação e o seu retrato literário.   Revista Ciências Sociais, n. 2, 2009.TEXTO IIAs últimas barreiras ao livre movimento do dinheiro e das mercadorias e informação que rendem dinheiro andam de mãos dadas com a pressão para cavar novos fossos e erigir novas muralhas que barrem o movimento daqueles que em consequência perdem, física ou espiritualmente, suas raízes.BAUMAN, Z. Globalização : as consequências humanas.  Rio de Janeiro: Jorge Zahar, 1999.A ressignificação contemporânea da ideia de fronteira compreende a",A: liberação da circulação de pessoas; B: preponderância dos limites naturais; C: supressão dos obstáculos aduaneiros; D: desvalorização da noção de nacionalismo; E: seletividade dos mecanismos segregadores
82,B,2.42169,1.66005,0.18248,2018,"TEXTO IHá mais de duas décadas, os cientistas e ambientalistas têm alertado para o fato de a água doce ser um recurso escasso em nosso planeta. Desde o começo de 2014, o Sudeste do Brasil adquiriu uma clara percepção dessa realidade em função da seca.TEXTO IIDinâmicas atmosféricas no BrasilElementos relevantes ao transporte de umidade na América do Sul a leste dos Andes pelos Jatos de Baixos Níveis (JBN), Frentes Frias (FF) e transporte de umidade do Atlântico Sul, assim como a presença da Zona de Convergência do Atlântico Sul (ZCAS), para um verão normal e para o verão seco de 2014. “A” representa o centro da anomalia de alta pressão atmosférica.Solo úmidoZCASJBN0°20° S40° S60° WVerão normalFFFluxo doOceano AtlânticoSolosecoJBN0°20° S40° S60° WVerão de 2014FFFluxo doOceano AtlânticoAAmazôniaAmazôniaMARENGO, J. A. et al. A seca e a crise hídrica de 2014-2015 em São Paulo. Revista USP , n. 106, 2015 (adaptado).De acordo com as informações apresentadas, a seca de 2014, no Sudeste, teve como causa natural o(a)",A: constituição de frentes quentes barrando as chuvas convectivas; B: formação de anticiclone impedindo a entrada de umidade; C: presença de nebulosidade na região de cordilheira; D: avanço de massas polares para o continente; E: baixa pressão atmo sférica no litoral
83,D,0.60114,3.21465,0.04218,2018,"Não é verdade que estão ainda cheios de velhice espiritual aqueles que nos dizem: “Que fazia Deus antes de criar o céu e a terra? Se estava ocioso e nada realizava”, dizem eles, “por que não ficou sempre assim no decurso dos séculos, abstendo-se, como antes, de toda ação? Se existiu em Deus um novo movimento, uma vontade nova para dar o ser a criaturas que nunca antes criara, como pode haver verdadeira eternidade, se n’Ele aparece uma vontade que antes não existia?”AGOSTINHO. Confissões. São Paulo: Abril Cultural, 1984.","A: questão da eternidad e, tal como abordada pelo autor, é um exemplo da reflexão filosófica sobre a(s)A essência da ética cristã; B: natureza universal da tradição; C: certezas inabaláveis da experiência; D: abrangência da compreensão humana; E: interpretações da realidade circundante"
84,C,2.64093,0.97084,0.10439,2018,"Rodrigo havia sido indicado pela oposição para fiscal duma das mesas eleitorais. Pôs o revólver na cintura, uma caixa de balas no bolso e encaminhou-se para seu posto. A chamada dos eleitores começou às sete da manhã. Plantados junto da porta, os capangas do Trindade ofereciam cédulas com o nome dos candidatos oficiais a todos os eleitores que entravam. Estes, em sua quase totalidade, tomavam docilmente dos papeluchos e depositavam-nos na urna, depois de assinar a autêntica. Os que se recusavam a isso tinham seus nomes acintosamente anotados.VERISSIMO, E. O tempo e o vento. São Paulo: Globo, 2003 (adaptado).Erico Verissimo tematiza em obra ficcional o seguinte aspecto característico da vida política durante a Primeira República:",A: Identificação forçada de homens analfabetos; B: Monitoramento legal dos pleitos legislativos; C: Repressão explícita ao exercício de direito; D: Propaganda direcionada à população do campo; E: Cerceamento policial dos operários sindicalizados
85,A,4.54182,0.94711,0.22956,2018,"Então disse: “Este é o local onde construirei. Tudo pode chegar aqui pelo Eufrates, o Tigre e uma rede de canais. Só um lugar como este sustentará o exército e a população geral”. Assim ele traçou e destinou as verbas para a sua construção, e deitou o primeiro tijolo com sua própria mão, dizendo: “Em nome de Deus, e em louvor a Ele. Construí, e que Deus vos abençoe”.AL-TABARI, M. Uma história dos povos árabes.  São Paulo: Cia. da s Letras, 1995 (adaptado).A decisão do califa Al-Mansur (754-775) de construir Bagdá nesse local orientou-se pela",A: disponibilidade de rotas e terras férteis como base da dominação política; B: proximidade de áreas populosas como afirmação da superioridade bélica; C: submissão à hierarquia e à lei islâmica como controle do poder real; D: fuga da península arábica como afastamento dos conflitos sucessórios; E: ocupação de região fronteiriça como contenção do avanço mongol
86,A,3.4662,1.3981,0.16469,2018,"A ag ricultura ecológica e a produção orgânica de alimentos estão ganhando relevância em diferentes partes do mundo. No campo brasileiro, também acontece o mesmo. Impulsionado especialmente pela expansão da demanda de alimentos saudáveis, o setor cresce a cada ano, embora permaneça relativamente marginalizado na agenda de prioridades da política agrícola praticada no país.AQUINO, J. R.; GAZOLLA, M.; SCHNEIDER, S. In: SAMBUICHI, R. H. R. et al. (Org.). A política nacional de agroecologia e produção orgânica no Brasil : uma trajetória de luta pelo desenvolvimento rural sustentável. Brasília: Ipea, 2017 (adaptado).Que tipo de intervenção do poder público no espaço rural é capaz de reduzir a marginalização produtiva apresentada no texto?",A: Subsidiar os cultivos de base familiar; B: Favorecer as práticas de fertilização química; C: Restringir o emprego de maquinário moderno; D: Controlar a expansão de sistemas de irrigação ; E: Regulamentar o us o de sementes selecionadas
87,B,1.9957,0.71975,0.11139,2018,Tônico para a saúde da mulher . Disponível em: www.propagandashistoricas.com.br. Acesso em: 28 nov. 2017.O anúncio publicitário da década de 1940 reforça os seguintes estereótipos atribuídos historicamente a uma suposta natureza feminina:,A: Pudor in ato e instinto maternal; B: Fragilidade física e necessidade de aceitação; C: Isolamento social e procura de autoconhecimento; D: Dependência econômica e desejo de ostentação; E: Mentalidade fútil e conduta hedonista
88,C,1.44874,2.04777,0.21786,2018,"Participação percentual do extrativismo vegetal e da silvicultura no valor da produção primária florestal — Brasil — 1996-201490,080,070,060,050,040,030,020,010,00,0%1996199719981999200020012002200320042005200620072008200920102011201220132014Silvicultura Extrativismo vegetalIBGE.  Produção da extração vegetal e da silvicultura. Rio de Janeiro: IBGE, 2014 (adaptado).Considerando as diferenças entre extrativismo vegetal e silvicultura, a variação das curvas do gráfico foi influenciada pela tendência de",A: conservação do bioma nativo; B: estagnação do setor primário; C: utilização de madeira de reflorestamento; D: redução da produção de móveis; E: retração da indú stria alimentícia
89,D,2.14361,2.00995,0.17873,2018,"No início da década de 1990, dois biólogos importantes, Redford e Robinson, produziram um modelo largamente aceito de “produção sustentável” que previa quantos indivíduos de cada espécie poderiam ser caçados de forma sustentável baseado nas suas taxas de reprodução. Os seringueiros do Alto Juruá tinham um modelo diferente: a quem lhes afirmava que estavam caçando acima do sustentável (dentro do modelo), eles diziam que não, que o nível da caça dependia da existência de áreas de refúgio em que ninguém caçava. Ora, esse acabou sendo o modelo batizado de “fonte-ralo” proposto dez anos após o primeiro por Novaro, Bodmer e o próprio Redford e que suplantou o modelo anterior.CUNHA, M. C. Revista USP , n. 75, set.-nov. 2007.No contexto da produção científica, a necessidade de reconstrução desse modelo, conforme exposto no texto, foi determinada pelo confronto com um(a)",A: conclusão operacional obtida por lógica dedutiva; B: visão de mundo marcada por preconceitos morais; C: hábito social condicionado pela religiosidade popular; D: conhecimento empírico apropriado pelo senso comum; E: padrão de preservação construído por experimentação dirigida
90,E,2.42215,1.58606,0.13283,2018,"Um dos teóricos da democracia moderna, Hans Kelsen, considera elemento essencial da democracia real (não da democracia ideal, que não existe em lugar algum) o método da seleção dos líderes, ou seja, a eleição. Exemplar, neste sentido, é a afirmação de um juiz da Corte Suprema dos Estados Unidos, por ocasião de uma eleição de 1902: “A cabine eleitoral é o templo das instituições americanas, onde cada um de nós é um sacerdote, ao qual é confiada a guarda da arca da aliança e cada um oficia do seu próprio altar”.BOBBIO, N. Teoria geral da política . Rio de Janeiro: Elsevier, 2000 (adaptado).As metáforas utilizadas no texto referem-se a uma concepção de democracia fundamentada no(a)",A: justificação teísta do direito; B: rigidez da hierarquia de classe; C: ênfase formalista na administração; D: protagonismo do Executivo no poder; E: centralidade do indivíduo na sociedade.
46,B,2.21881,1.10809,0.13721,2019,"A pegada ecológica gigante que estamos a deixar no planeta está a transformá-lo de tal forma que os especialistas consideram que já entramos numa nova época geológica, o Antropoceno. E muitos  defendem que, se não travarmos a crise ambiental, mais rapidamente transformaremos a Terra em Vênus do que iremos a Marte. A expressão “Antropoceno” é atribuída ao químico e prêmio Nobel Paul Crutzen, que a propôs durante uma conferência em 2000, ao mesmo tempo que anunciou o fim do Holoceno — a época geológica em que os seres humanos se encontram há cerca de  12 mil anos, segundo a União Internacional das Ciências Geológicas (UICG), a entidade que define as unidades de tempo geológicas.SILVA, R. D. Antropoceno: e se formos os últimos seres vivos  a alterar a Terra? Disponível em: www.publico.pt.  Acesso em: 5 dez. 2017 (adaptado).",A: concepção apresentada considera a existência de uma nova época geológica concebida a partir da capacidade de influência humana nos processosA eruptivos; B: exógenos; C: tectônicos; D: magmáticos; E: metamórficos
47,A,2.07127,1.3472,0.07736,2019,Disponível em: www.ibge.gov.br. Acesso em: 11 dez. 2018 (adaptado).A geração de imagens por meio da tecnologia ilustrada depende da variação do(a):,A: Albedo dos corpos físicos; B: Profundidade do lençol freático; C: Campo de magnetismo terrestre; D: Qualidade dos recursos minerais; E: Movimento de translaç ão planetária
48,C,,,,2019,"Dizem que Humboldt, naturalista do século XIX, maravilhado pela geografia, flora e fauna da região sul-americana, via seus habitantes como se fossem mendigos sentados sobre um saco de ouro,  referindo-se a suas incomensuráveis riquezas naturais não exploradas. De alguma maneira, o cientista ratificou nosso papel de exportadores de natureza no que seria o mundo depois da colonização ibérica: enxergou-nos como territórios condenados a aproveitar os recursos naturais existentes.ACOSTA, A. Bem viver: uma oportunidade para imaginar outros mundos. São Paulo: Elefante, 2016 (adaptado).",A: relação entre ser humano e natureza ressaltada no texto refletia a permanência da seguinte corrente filosófica:A Relativismo cognitivo; B: Materialismo dialético; C: Racionalismo cartesiano; D: Pluralismo epistemológico; E: Existencialismo fenomenológico
49,C,1.31749,0.44063,0.18259,2019,"O Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) está investigando o extermínio de abelhas por intoxicação por agrotóxicos em colmeias de São Paulo e Minas Gerais. Os estudos com inseticidas do tipo neonicotinoides devem estar concluídos no primeiro semestre de 2015. Trata-se de um problema de escala mundial, presente, inclusive, em países do chamado primeiro mundo, e que traz, como consequência, grave ameaça aos seres vivos  do planeta, inclusive ao homem.IBAMA. Polinizadores em risco de extinção são ameaça  à vida do ser humano . Disponível em: www.mma.gov.br.  Acesso em: 10 mar. 2014.Qual solução para o problema apresentado garante a produtividade da agricultura moderna?",A: Preservação da área de mata ciliar; B: Adoção da prática de adubação química; C: Utilização da técnica de controle biológico; D: Ampliação do modelo de monocultura tropical; E: Intensificação da drenagem do solo de várzea.SatéliteSolEnergia solarrefletidaEnergia solar incidenteFloresta Rio Pastagens RodoviaAtmosfer
50,C,3.45284,1.65017,0.09484,2019," A hospitalidade pura consiste em acolher aquele que chega antes de lhe impor condições, antes de saber e indagar o que quer que seja, ainda que seja um nome ou um “documento” de identidade. Mas ela também supõe que se dirija a ele, de maneira singular, chamando-o portanto e reconhecendo-lhe um nome próprio: “Como você se chama?” A hospitalidade consiste em fazer tudo para se dirigir ao outro, em lhe conceder, até mesmo perguntar seu nome, evitando que essa pergunta se torne uma “condição”, um inquérito policial,  um fichamento ou um simples controle das fronteiras.  Uma arte e uma poética, mas também toda uma política dependem disso, toda uma ética se decide aí.DERRIDA, J. Papel-máquina. São Paulo:  Estação Liberdade, 2004 (adaptado).Associado ao contexto migratório contemporâneo,  o conceito de hospitalidade proposto pelo autor impõe a necessidade de",A: anulação da diferença; B: cristalização da biografia; C: incorporação da alteridade; D: supressão da comunicação; E: verificação da proveniência
51,B,2.24266,0.19945,0.14787,2019," Em sentido geral e fundamental, Direito é a técnica da coexistência humana, isto é, a técnica voltada a  tornar possível a coexistência dos homens. Como técnica, o Direito se concretiza em um conjunto de regras (que, nesse caso, são leis ou normas); e tais regras têm por objeto o comportamento intersubjetivo, isto é,  o comportamento recíproco dos homens entre si.ABBAGNANO, N. Dicionário de Filosofia .  São Paulo: Martins Fontes, 2007.O sentido geral e fundamental do Direito, conforme foi destacado, refere-se à",A: aplicação de códigos legais; B: regulação do convívio social; C: legitimação de decisões políticas; D: mediação de conflitos econômicos; E: representação da autoridade constituída
52,A,1.69265,-0.16281,0.19993,2019," O processamento da mandioca era uma atividade já realizada pelos nativos que viviam no Brasil antes da chegada de portugueses e africanos. Entretanto, ao longo do processo de colonização portuguesa, a produção de farinha foi aperfeiçoada e ampliada, tornando-se  lugar-comum em todo o território da colônia portuguesa na América. Com a consolidação do comércio atlântico em suas diferentes conexões, a farinha atravessou os mares e chegou aos mercados africanos.BEZERRA, N. R. Escravidão, farinha e tráfico atlântico:  um novo olhar sobre as relações entre o Rio de Janeiro e  Benguela (1790-1830). Disponível em: www.bn.br.  Acesso em: 20 ago. 2014 (adaptado).Considerando a formação do espaço atlântico,  esse produto exemplifica historicamente a",A: difusão de hábitos alimentares; B: disseminação de rituais festivos; C: ampliação dos saberes autóctones; D: apropriação de costumes guerreiros; E: diversificação de oferendas religiosas
53,B,2.89911,0.93429,0.16213,2019," Brasil, Alemanha, Japão e Índia pedem reforma  do Conselho de SegurançaOs representantes do G4 (Brasil, Alemanha, Índia e Japão) reiteraram, em setembro de 2018, a defesa pela ampliação do Conselho de Segurança da Organização das Nações Unidas (ONU) durante reunião em  Nova York (Estados Unidos). Em declaração conjunta,  de dez itens, os chanceleres destacaram que o órgão, no formato em que está, com apenas cinco membros permanentes e dez rotativos, não reflete o século 21. “A reforma do Conselho de Segurança é essencial para enfrentar os desafios complexos de hoje. Como aspirantes a novos membros permanentes de um conselho reformado, os ministros reiteraram seu compromisso de trabalhar para fortalecer o  funcionamento da ONU e da ordem multilateral global, bem como seu apoio às respectivas candidaturas”, afirma a declaração conjunta.Disponível em: http://agenciabrasil.ebc.com.br.  Acesso em: 7 dez. 2018 (adaptado).Os países mencionados no texto justificam sua pretensão com base na seguinte característica comum:",A: Extensividade de área territorial; B: Protagonismo em escala regional; C: Investimento em tecnologia militar; D: Desenvolvimento de energia nuclear; E: Disponibilidade de recursos minerais
54,B,2.3107,1.45829,0.17477,2019,"Dificilmente passa-se uma noite sem que algum sitiante tenha seu celeiro ou sua pilha de cereais destruídos pelo fogo. Vários trabalhadores não diretamente envolvidos nos ataques pareciam  apoiá-los, como se vê neste depoimento ao The Times: “deixa queimar, pena que não foi a casa”; “podemos nos aquecer agora”; “nós só queríamos algumas batatas,  há um fogo ótimo para cozinhá-las”.HOBSBAWM, E.; RUDÉ, G. Capitão Swing . Rio de Janeiro: Francisco Alves, 1982 (adaptado).","A: revolta descrita no texto, ocorrida na Inglaterra no século XIX, foi uma reação ao seguinte processo socioespacial:A Restrição da propriedade privada; B: Expropriação das terras comunais; C: Imposição da estatização fundiária; D: Redução da produção monocultora; E: Proibição das atividades artesanais"
55,A,1.39689,1.31818,0.11442,2019,"Entre os combatentes estava a mais famosa heroína da Independência. Nascida em Feira de Santana, filha de lavradores pobres, Maria Quitéria de Jesus tinha trinta anos quando a Bahia começou a pegar em armas contra os portugueses. Apesar da proibição de mulheres nos batalhões de voluntários,  decidiu se alistar às escondidas. Cortou os cabelos, amarrou os seios, vestiu-se de homem e incorporou-se às fileiras brasileiras com o nome de Soldado Medeiros.GOMES, L.  1822. Rio de Janeiro: Nova Fronteira, 2010.No processo de Independência do Brasil, o caso mencionado é emblemático porque evidencia a",A: rigidez hierárquica da estrutura social; B: inserção feminina nos ofícios militares; C: adesão pública dos imigrantes portugueses; D: flexibilidade administrativa do governo imperial; E: receptividade metropolitana aos ideais emancipatórios
56,D,0.61655,1.00168,0.04145,2019,"A reestruturação global da indústria, condicionada pelas estratégias de gestão global da cadeia de valor dos grandes grupos transnacionais, promoveu um forte deslocamento do processo produtivo, até mesmo de plantas industriais inteiras, e redirecionou os fluxos de produção e de investimento. Entretanto, o aumento da participação dos países em desenvolvimento no produto global deu-se de forma bastante assimétrica quando se compara o dinamismo dos países do leste asiático com o dos demais países, sobretudo os latino-americanos, no período 1980-2000.SARTI, F.; HIRATUKA, C. Indústria mundial : mudanças e tendências recentes. Campinas: Unicamp, n. 186, dez. 2010.A dinâmica de transformação da geografia das indústrias descrita expõe a complementaridade entre dispersão espacial  e",A: autonomia tecnológica; B: crises de abastecimento; C: descentralização política; D: concentração econômica; E: compartilhamento de lucros
57,C,2.22546,0.46653,0.15939,2019,"Regiões áridas e semiáridas do mundo30° NTrópico  de Câncer0° EquadorTrópico de Capricórnio30° SSEMIÁRIDAÁRIDA (DESERTO)SALGADO-LABOURIAL, M. L. História ecológica da Terra .  São Paulo: Edgard Blucher, 1994 (adaptado).No Hemisfério Sul, a sequência latitudinal dos desertos representada na imagem sofre uma interrupção no Brasil devido à seguinte razão:",A: Existência de superfícies de intensa refletividade; B: Preponderância de altas pressões atmosféricas; C: Influência de umidade das áreas florestais; D: Predomínio de correntes marinhas frias; E: Ausência de massas de ar continentais
58,B,1.78628,1.34891,0.18079,2019,"De fato, não é porque o homem pode usar a vontade livre para pecar que se deve supor que Deus a concedeu para isso. Há, portanto, uma razão pela qual Deus deu ao homem esta característica, pois sem ela não poderia viver e agir corretamente. Pode-se compreender, então, que ela foi concedida ao homem para esse fim, considerando-se que se um homem a usa para pecar, recairão sobre ele as punições divinas. Ora, isso seria injusto se a vontade livre tivesse sido dada ao homem não apenas para agir corretamente, mas também para pecar. Na verdade, por que deveria ser punido aquele que usasse sua vontade para o fim para o qual ela lhe foi dada?AGOSTINHO. O livre-arbítrio. In: MARCONDES, D. Textos básicos de ética. Rio de Janeiro: Jorge Zahar, 2008.Nesse texto, o filósofo cristão Agostinho de Hipona sustenta que a punição divina tem como fundamento o(a)",A: desvio da postura celibatária; B: insuficiência da autonomia moral; C: afastamento das ações de desapego; D: distanciamento das práticas de sacrifício; E: violação dos preceitos do Velho Testamento
59,C,3.33353,0.6595,0.32563,2019,Disponível em: https://hypescience.com. Acesso em: 1 dez. 2018 (adaptado).A divisão política do mundo como apresentada na imagem seria possível caso o planeta fosse marcado  pela estabilidade do(a),A: ciclo hidrológico; B: processo erosivo; C: estrutura geológica; D: índice pluviométrico; E: pressão atmosférica
60,E,2.20133,1.01836,0.12996,2019,"A cidade medieval é, antes de mais nada, uma sociedade da abundância, concentrada num pequeno espaço em meio a vastas regiões pouco povoadas. Em seguida, é um lugar de produção e de trocas, onde se articulam o artesanato e o comércio, sustentados por uma economia monetária. É também o centro de um sistema de valores particular, do qual emerge a prática laboriosa e criativa do trabalho, o gosto pelo negócio e pelo dinheiro, a inclinação para o luxo, o senso da beleza. É ainda um sistema de organização de um espaço fechado  com muralhas, onde se penetra por portas e se caminha por ruas e praças e que é guarnecido por torres.LE GOFF, J.; SCHMITT, J.-C. Dicionário temático do Ocidente Medieval . Bauru: Edusc, 2006.No texto, o espaço descrito se caracteriza pela associação entre a ampliação das atividades urbanas e a",A: emancipação do poder hegemônico da realeza; B: aceitação das práticas usurárias dos religiosos; C: independência da produção alimentar dos campos; D: superação do ordenamento corporativo dos ofícios; E: permanência dos elementos arquitetônicos de proteção
61,E,3.17381,0.77149,0.09188,2019,"TEXTO IOuve o barulho do rio, meu filhoDeixa esse som te embalar As folhas que caem no rio, meu filho Terminam nas águas do mar Quando amanhã por acaso faltar Uma alegria no seu coração Lembra do som dessas águas de lá Faz desse rio a sua oração.MONTE, M. et al. O rio. In: Infinito particular . Rio de Janeiro:  Sony; Universa l Music, 2006 (fragmento).TEXTO IIO atrativo ecoturístico não é somente o banho de cachoeira, sentar e caminhar pela praia, cavalgar, mas conhecer a biodiversidade, às vezes supostamente em extinção. Observar baleias, nadar com o golfinho, tocar em corais, sair ao encontro de dezenas de jacarés em seu hábitat natural são símbolos que fascinam um ecoturista. A natureza é transformada em espetáculo diferente da vida urbana moderna.SANTANA, P. V. Ecoturismo: uma indústria sem chaminé?  São Paulo: Labur Edições, 2008.São identificadas nos textos, respectivamente, as seguintes posturas em relação à natureza:",A: Exploração e romantização; B: Sacralização e profanação; C: Preservação e degradação; D: Segregação e democratização; E: Idealização e mercantilização
62,E,2.33881,0.22143,0.04965,2019,"A maior parte das agressões e manifestações discriminatórias contra as religiões de matrizes africanas ocorrem em locais públicos (57%). É na rua, na via pública, que tiveram lugar mais de 2/3 das agressões, geralmente em locais próximos às casas de culto dessas religiões. O transporte público também é apontado como um local em que os adeptos das religiões de matrizes africanas são discriminados, geralmente quando se encontram paramentados por conta dos preceitos religiosos.REGO, L. F.; FONSECA, D. P. R.; GIACOMINI, S. M.  Cartografia social de terreiros no Rio de Janeiro.  Rio de Janeiro: PUC-Rio, 2014.As práticas descritas no texto são incompatíveis com a dinâmica de uma sociedade laica e democrática porque",A: asseguram as expressões multiculturais; B: promovem a diversidade de etnias; C: falseiam os dogmas teológicos; D: estimulam os rituais sincréticos; E: restringem a liberdade de credo
63,B,3.73216,1.13742,0.16303,2019,"TEXTO IA centralização econômica, o protecionismo e a expansão ultramarina engrandeceram o Estado, embora beneficiassem a burguesia incipiente.ANDERSON, P. In: DEYON, P. O mercantilismo.  Lisboa: Gradiva,1989 (adaptado).TEXTO IIAs interferências da legislação e das práticas exclusivistas restringem a operação benéfica da lei natural na esfera das relações econômicas.SMITH, A. A riqueza das Nações. São Paulo:  Abril Cul tural, 1983 (adaptado).Entre os séculos XVI e XIX, diferentes concepções sobre as relações entre Estado e economia foram formuladas. Tais concepções, associadas a cada um dos textos, confrontam-se, respectivamente, na oposição entre as práticas de",A: valorização do pacto colonial — combate à livre- -iniciativa; B: defesa dos monopólios régios — apoio à livre concorrência; C: formação do sistema metropolitano — crítica à livre navegação; D: abandono da acumulação metalista — estímulo ao livre-comércio; E: eliminação das tarifas alfandegárias — incentivo ao livre-cambismo
64,C,1.5682,-0.25115,0.00814,2019,"A lenda diz que, em um belo dia ensolarado, Newton estava relaxando sob uma macieira. Pássaros gorjeavam em suas orelhas. Havia uma brisa gentil. Ele cochilou por alguns minutos. De repente, uma maçã caiu sobre a sua cabeça e ele acordou com um susto. Olhou para cima. “Com certeza um pássaro ou um esquilo derrubou a maçã da árvore”, supôs. Mas não havia pássaros ou esquilos na árvore por perto. Ele, então, pensou: “Apenas alguns minutos antes, a maçã estava pendurada na árvore. Nenhuma força externa fez ela cair. Deve haver alguma força subjacente que causa a queda das coisas para a terra”.SILVA, C. C.; MARTINS, R. A. Estudos de história e filosofia das ciências. São Paulo: Livraria da Física, 2006 (adaptado).Em contraponto a uma interpretação idealizada, o texto aponta para a seguinte dimensão fundamental da ciência moderna:",A: Falsificação de teses; B: Negação da observação; C: Proposição de hipóteses; D: Contemplação da natureza; E: Universalização de conclusões
65,A,1.45676,1.3618,0.21595,2019,"Para Maquiavel, quando um homem decide dizer a verdade pondo em risco a própria integridade física, tal resolução diz respeito apenas a sua pessoa. Mas se esse mesmo homem é um chefe de Estado, os critérios pessoais não são mais adequados para decidir sobre ações cujas consequências se tornam tão amplas,  já que o prejuízo não será apenas individual,  mas coletivo. Nesse caso, conforme as circunstâncias e os fins a serem atingidos, pode-se decidir que o melhor para o bem comum seja mentir.ARANHA, M. L. Maquiavel: a lógica da força.  São Paulo: Moderna, 2006 (adaptado).O texto aponta uma inovação na teoria política na época moderna expressa na distinção entre",A: idealidade e efetividade da moral; B: nulidade e preservabilidade da liberdade; C: ilegalidade e legitimidade do governante; D: verificabilidade e possibilidade da verdade; E: objetividade e subjetividade do conhecimento
66,C,2.80224,0.44492,0.21353,2019,"A criação do Sistema Único de Saúde (SUS) como uma política para todos constitui-se uma das mais importantes conquistas da sociedade brasileira no século XX. O SUS deve ser valorizado e defendido como um marco para a cidadania e o avanço civilizatório. A democracia envolve um modelo de Estado no qual políticas protegem os cidadãos e reduzem as desigualdades. O SUS é uma diretriz que fortalece a cidadania e contribui para assegurar o exercício de direitos, o pluralismo político e o bem-estar como valores de uma sociedade fraterna, pluralista e sem preconceitos, conforme prevê a Constituição  Federal de 1988.RIZZOTO, M. L. F. et al. Justiça social, democracia com direitos sociais e saúde: a luta do Cebes. Revista Saúde em Debate ,  n. 116, jan.-mar. 2018 (adaptado).Segundo o texto, duas características da concepção da política pública analisada são:",A: Paternalismo e filantropia; B: Liberalismo e meritocracia; C: Universalismo e igualitarismo; D: Nacionalismo e individualismo; E: Revolucionarismo e coparticipação
67,A,1.471,1.73902,0.23765,2019,"TEXTO IConsidero apropriado deter-me algum tempo na contemplação deste Deus todo perfeito, ponderar totalmente à vontade seus maravilhosos atributos, considerar, admirar e adorar a incomparável beleza dessa imensa luz.DESCARTES, R. Meditações. São Paulo: Abril Cultural, 1980.TEXTO IIQual será a forma mais razoável de entender como é o mundo? Existirá alguma boa razão para acreditar que o mundo foi criado por uma divindade todo-poderosa? Não podemos dizer que a crença em Deus é “apenas” uma questão de fé.RACHELS, J. Problemas da filosofia . Lisboa: Gradiva, 2009.Os textos abordam um questionamento da construção da modernidade que defende um modelo",A: centrado na razão humana; B: baseado na explicação mitológica; C: fundamentado na ordenação imanentista; D: focado na legitimação contratualista; E: configurado na percepção etnocêntrica
68,C,2.54319,0.68737,0.16087,2019,"A comunidade de Mumbuca, em Minas Gerais, tem uma organização coletiva de tal forma expressiva que coopera para o abastecimento de mantimentos da cidade do Jequitinhonha, o que pode ser atestado pela feira aos sábados. Em Campinho da Independência, no  Rio de Janeiro, o artesanato local encanta os frequentadores do litoral sul do estado, além do restaurante quilombola que atende aos turistas.ALMEIDA, A. W. B. (Org.). Cadernos de debates nova cartografia social: Territórios quilombolas e conflitos. Manaus: Projeto Nova Cartografia Social da Amazônia; UEA Edições, 2010 (adaptado).No texto, as estratégias territoriais dos grupos de remanescentes de quilombo visam garantir:",A: Perdão de dívidas fiscais; B: Reserva de mercado local; C: Inserção econômica regional; D: Protecionismo comercial tarifário; E: Benefícios assistenciais públicos
69,E,1.35668,1.69195,0.10234,2019,"Localizado a 160 km da cidade de Porto Velho (capital do estado de Rondônia), nos limites da Reserva Extrativista Jaci-Paraná e Terra Indígena Karipunas, o povoado de União Bandeirantes surgiu em 2000 a partir de movimentos de camponeses, madeireiros, pecuaristas e grileiros que, à revelia do ordenamento territorial e diante da passividade governamental, demarcaram e invadiram terras na área rural  fundando a vila. Atualmente, constitui-se na região de maior produção agrícola e leiteira do município de Porto Velho, fornecendo, inclusive, alimentos para a Hidrelétrica de Jirau.SILVA, R. G. C. Amazônia globalizada — o exemplo de Rondônia. Confins, n. 23, 2015 (adaptado).",A: dinâmica de ocupação territorial descrita foi decorrente daA mecanização do processo produtivo; B: adoção da colonização dirigida; C: realização de reforma agrária; D: ampliação de franjas urbanas; E: expansão de frentes pioneiras
